theta0,w0,safe
1.5080,-5.7596,1
1.5708,-5.7596,1
1.6336,-5.7596,1
1.6965,-5.7596,0
1.7593,-5.7596,0
1.8221,-5.7596,0
1.8850,-5.7596,0
-1.8850,-5.5292,0
-1.8221,-5.5292,1
-1.7593,-5.5292,1
-1.6965,-5.5292,1
-1.6336,-5.5292,1
-1.5708,-5.5292,1
-1.5080,-5.5292,1
-1.4451,-5.5292,1
-1.3823,-5.5292,1
-1.3195,-5.5292,1
-1.2566,-5.5292,1
-1.1938,-5.5292,1
-1.1310,-5.5292,1
-1.0681,-5.5292,1
-1.0053,-5.5292,1
-0.9425,-5.5292,1
-0.8796,-5.5292,1
-0.8168,-5.5292,1
-0.7540,-5.5292,1
-0.6912,-5.5292,1
-0.6283,-5.5292,1
-0.5655,-5.5292,1
-0.5027,-5.5292,1
-0.4398,-5.5292,1
-0.3770,-5.5292,1
-0.3142,-5.5292,1
-0.2513,-5.5292,1
-0.1885,-5.5292,1
-0.1257,-5.5292,1
-0.0628,-5.5292,1
0.0000,-5.5292,1
0.0628,-5.5292,1
0.1257,-5.5292,1
0.1885,-5.5292,1
0.2513,-5.5292,1
0.3142,-5.5292,1
0.3770,-5.5292,1
0.4398,-5.5292,1
0.5027,-5.5292,1
0.5655,-5.5292,1
0.6283,-5.5292,1
0.6912,-5.5292,1
0.7540,-5.5292,1
0.8168,-5.5292,1
0.8796,-5.5292,1
0.9425,-5.5292,1
1.0053,-5.5292,1
1.0681,-5.5292,1
1.1310,-5.5292,1
1.1938,-5.5292,1
1.2566,-5.5292,1
1.3195,-5.5292,1
1.3823,-5.5292,1
1.4451,-5.5292,1
1.5080,-5.5292,1
1.5708,-5.5292,1
1.6336,-5.5292,1
1.6965,-5.5292,0
1.7593,-5.5292,0
1.8221,-5.5292,0
1.8850,-5.5292,0
-1.8850,-5.2988,0
-1.8221,-5.2988,1
-1.7593,-5.2988,1
-1.6965,-5.2988,1
-1.6336,-5.2988,1
-1.5708,-5.2988,1
-1.5080,-5.2988,1
-1.4451,-5.2988,1
-1.3823,-5.2988,1
-1.3195,-5.2988,1
-1.2566,-5.2988,1
-1.1938,-5.2988,1
-1.1310,-5.2988,1
-1.0681,-5.2988,1
-1.0053,-5.2988,1
-0.9425,-5.2988,1
-0.8796,-5.2988,1
-0.8168,-5.2988,1
-0.7540,-5.2988,1
-0.6912,-5.2988,1
-0.6283,-5.2988,1
-0.5655,-5.2988,1
-0.5027,-5.2988,1
-0.4398,-5.2988,1
-0.3770,-5.2988,1
-0.3142,-5.2988,1
-0.2513,-5.2988,1
-0.1885,-5.2988,1
-0.1257,-5.2988,1
-0.0628,-5.2988,1
0.0000,-5.2988,1
0.0628,-5.2988,1
0.1257,-5.2988,1
0.1885,-5.2988,1
0.2513,-5.2988,1
0.3142,-5.2988,1
0.3770,-5.2988,1
0.4398,-5.2988,1
0.5027,-5.2988,1
0.5655,-5.2988,1
0.6283,-5.2988,1
0.6912,-5.2988,1
0.7540,-5.2988,1
0.8168,-5.2988,1
0.8796,-5.2988,1
0.9425,-5.2988,1
1.0053,-5.2988,1
1.0681,-5.2988,1
1.1310,-5.2988,1
1.1938,-5.2988,1
1.2566,-5.2988,1
1.3195,-5.2988,1
1.3823,-5.2988,1
1.4451,-5.2988,1
1.5080,-5.2988,1
1.5708,-5.2988,1
1.6336,-5.2988,1
1.6965,-5.2988,0
1.7593,-5.2988,0
1.8221,-5.2988,0
1.8850,-5.2988,0
-1.8850,-5.0684,0
-1.8221,-5.0684,1
-1.7593,-5.0684,1
-1.6965,-5.0684,1
-1.6336,-5.0684,1
-1.5708,-5.0684,1
-1.5080,-5.0684,1
-1.4451,-5.0684,1
-1.3823,-5.0684,1
-1.3195,-5.0684,1
-1.2566,-5.0684,1
-1.1938,-5.0684,1
-1.1310,-5.0684,1
-1.0681,-5.0684,1
-1.0053,-5.0684,1
-0.9425,-5.0684,1
-0.8796,-5.0684,1
-0.8168,-5.0684,1
-0.7540,-5.0684,1
-0.6912,-5.0684,1
-0.6283,-5.0684,1
-0.5655,-5.0684,1
-0.5027,-5.0684,1
-0.4398,-5.0684,1
-0.3770,-5.0684,1
-0.3142,-5.0684,1
